id,datetime,title,hazard_codes,primary_country,collection
emdat-event-2015-0258-IRN,2015-07-14T00:00:00Z,Flash flood in Iran (Islamic Republic of),nat-hyd-flo-fla,IRN,emdat-events
emdat-event-2015-0333-PAK,2015-07-07T00:00:00Z,Riverine flood in Pakistan,nat-hyd-flo-riv,PAK,emdat-events
emdat-event-2015-0333-IND,2015-07-07T00:00:00Z,Riverine flood in India,nat-hyd-flo-riv,IND,emdat-events
emdat-event-2015-0255-CHN,2015-06-26T00:00:00Z,Riverine flood in China,nat-hyd-flo-riv,CHN,emdat-events
emdat-event-2015-0288-PAK,2015-06-25T00:00:00Z,Flood (General) in Pakistan,nat-hyd-flo-flo,PAK,emdat-events
emdat-event-2015-0253-MMR,2015-06-23T00:00:00Z,Riverine flood in Myanmar,nat-hyd-flo-riv,MMR,emdat-events
emdat-event-2015-0253-IND,2015-06-23T00:00:00Z,Riverine flood in India,nat-hyd-flo-riv,IND,emdat-events
emdat-event-2015-0253-BGD,2015-06-23T00:00:00Z,Riverine flood in Bangladesh,nat-hyd-flo-riv,BGD,emdat-events
emdat-event-2015-0249-IND,2015-06-19T00:00:00Z,Riverine flood in India,nat-hyd-flo-riv,IND,emdat-events
emdat-event-2015-0240-CHN,2015-06-16T00:00:00Z,Flood (General) in China,nat-hyd-flo-flo,CHN,emdat-events
emdat-event-2015-0248-CHN,2015-06-07T00:00:00Z,Riverine flood in China,nat-hyd-flo-riv,CHN,emdat-events
emdat-event-2015-0215-PAK,2015-06-04T00:00:00Z,Flash flood in Pakistan,nat-hyd-flo-fla,PAK,emdat-events
emdat-event-2015-0207-IND,2015-05-17T00:00:00Z,Flash flood in India,nat-hyd-flo-fla,IND,emdat-events
emdat-event-2015-0219-CHN,2015-05-13T00:00:00Z,Flood (General) in China,nat-hyd-flo-flo,CHN,emdat-events
emdat-event-2015-0185-CHN,2015-05-13T00:00:00Z,Riverine flood in China,nat-hyd-flo-riv,CHN,emdat-events
emdat-event-2015-0194-TJK,2015-05-11T00:00:00Z,Riverine flood in Tajikistan,nat-hyd-flo-riv,TJK,emdat-events
emdat-event-2015-0581-AFG,2015-05-09T00:00:00Z,Flash flood in Afghanistan,nat-hyd-flo-fla,AFG,emdat-events
emdat-event-2015-0145-PAK,2015-04-26T00:00:00Z,Flash flood in Pakistan,nat-hyd-flo-fla,PAK,emdat-events
emdat-event-2015-0107-IND,2015-03-20T00:00:00Z,Flash flood in India,nat-hyd-flo-fla,IND,emdat-events
emdat-event-2015-0127-IRN,2015-03-11T00:00:00Z,Flash flood in Iran (Islamic Republic of),nat-hyd-flo-fla,IRN,emdat-events
emdat-event-2015-0124-PAK,2015-02-24T00:00:00Z,Riverine flood in Pakistan,nat-hyd-flo-riv,PAK,emdat-events
glide-event-FL-2015-000089-MMR,2015-07-19T00:00:00Z,,nat-hyd-flo-flo;FL,MMR,glide-events
glide-event-FL-2015-000090-PAK,2015-07-15T00:00:00Z,,nat-hyd-flo-flo;FL,PAK,glide-events
glide-event-FL-2015-000080-MMR,2015-07-02T00:00:00Z,,nat-hyd-flo-flo;FL,MMR,glide-events
glide-event-FF-2015-000077-BTN,2015-06-28T00:00:00Z,,nat-hyd-flo-fla;FF,BTN,glide-events
glide-event-FL-2015-000068-BGD,2015-06-17T00:00:00Z,,nat-hyd-flo-flo;FL,BGD,glide-events
glide-event-FL-2015-000064-IND,2015-06-05T00:00:00Z,,nat-hyd-flo-flo;FL,IND,glide-events
glide-event-FF-2015-000062-PAK,2015-06-03T00:00:00Z,,nat-hyd-flo-fla;FF,PAK,glide-events
glide-event-FL-2015-000029-IND,2015-03-30T00:00:00Z,,nat-hyd-flo-flo;FL,IND,glide-events
glide-event-FL-2015-000017-PAK,2015-02-24T00:00:00Z,,nat-hyd-flo-flo;FL,PAK,glide-events
gdacs-event-4405,2016-09-21T00:00:00Z,Flood in India,FL,IND,gdacs-events
gdacs-event-4390,2016-08-15T00:00:00Z,Flood in Thailand,FL,THA,gdacs-events
gdacs-event-4383,2016-08-01T00:00:00Z,Flood in India,FL,IND,gdacs-events
gdacs-event-4382,2016-07-25T00:00:00Z,Flood in Bangladesh,FL,BGD,gdacs-events
gdacs-event-4387,2016-07-21T00:00:00Z,Flood in Bhutan,FL,BTN,gdacs-events
gdacs-event-4384,2016-07-15T00:00:00Z,Flood in India,FL,IND,gdacs-events
gdacs-event-4378,2016-07-07T00:00:00Z,Flood in India,FL,IND,gdacs-events
gdacs-event-4373,2016-07-04T00:00:00Z,Flood in Nepal,FL,NPL,gdacs-events
gdacs-event-4372,2016-07-03T00:00:00Z,Flood in Pakistan,FL,PAK,gdacs-events
gdacs-event-4371,2016-06-29T00:00:00Z,Flood in India,FL,IND,gdacs-events
gdacs-event-4365,2016-06-01T00:00:00Z,Flood in Myanmar,FL,MMR,gdacs-events
gdacs-event-4355,2016-04-20T00:00:00Z,Flood in India,FL,IND,gdacs-events
gdacs-event-4339,2016-03-12T00:00:00Z,Flood in Pakistan,FL,PAK,gdacs-events
emdat-event-2016-0472-THA,2016-12-01T00:00:00Z,Flood (General) in Thailand,nat-hyd-flo-flo,THA,emdat-events
emdat-event-2016-0360-THA,2016-10-06T00:00:00Z,Flood (General) in Thailand,nat-hyd-flo-flo,THA,emdat-events
emdat-event-2016-0391-IND,2016-09-21T00:00:00Z,Flood (General) in India,nat-hyd-flo-flo,IND,emdat-events
emdat-event-2016-0389-CHN,2016-09-18T00:00:00Z,Flood (General) in China,nat-hyd-flo-flo,CHN,emdat-events
emdat-event-2016-0387-PAK,2016-08-27T00:00:00Z,Flood (General) in Pakistan,nat-hyd-flo-flo,PAK,emdat-events
emdat-event-2016-0378-THA,2016-08-15T00:00:00Z,Flash flood in Thailand,nat-hyd-flo-fla,THA,emdat-events
emdat-event-2016-0554-PAK,2016-08-06T00:00:00Z,Flood (General) in Pakistan,nat-hyd-flo-flo,PAK,emdat-events
emdat-event-2016-0376-CHN,2016-08-05T00:00:00Z,Flood (General) in China,nat-hyd-flo-flo,CHN,emdat-events
emdat-event-2016-0375-PAK,2016-08-05T00:00:00Z,Flash flood in Pakistan,nat-hyd-flo-fla,PAK,emdat-events
emdat-event-2016-0304-IND,2016-08-01T00:00:00Z,Flood (General) in India,nat-hyd-flo-flo,IND,emdat-events
emdat-event-2016-0270-PAK,2016-07-30T00:00:00Z,Flood (General) in Pakistan,nat-hyd-flo-flo,PAK,emdat-events
emdat-event-2016-0267-IND,2016-07-28T00:00:00Z,Flash flood in India,nat-hyd-flo-fla,IND,emdat-events
emdat-event-2016-0267-NPL,2016-07-25T00:00:00Z,Flash flood in Nepal,nat-hyd-flo-fla,NPL,emdat-events
emdat-event-2016-0309-AFG,2016-07-19T00:00:00Z,Flood (General) in Afghanistan,nat-hyd-flo-flo,AFG,emdat-events
emdat-event-2016-0288-BGD,2016-07-19T00:00:00Z,Riverine flood in Bangladesh,nat-hyd-flo-riv,BGD,emdat-events
emdat-event-2016-0307-MYS,2016-07-18T00:00:00Z,Flood (General) in Malaysia,nat-hyd-flo-flo,MYS,emdat-events
emdat-event-2016-0554-IND,2016-07-17T00:00:00Z,Flood (General) in India,nat-hyd-flo-flo,IND,emdat-events
emdat-event-2016-0271-IND,2016-07-15T00:00:00Z,Flood (General) in India,nat-hyd-flo-flo,IND,emdat-events
emdat-event-2016-0276-IND,2016-07-09T00:00:00Z,Flood (General) in India,nat-hyd-flo-flo,IND,emdat-events
emdat-event-2016-0240-PAK,2016-07-03T00:00:00Z,Flash flood in Pakistan,nat-hyd-flo-fla,PAK,emdat-events
emdat-event-2016-0369-MMR,2016-07-01T00:00:00Z,Flood (General) in Myanmar,nat-hyd-flo-flo,MMR,emdat-events
emdat-event-2016-0275-NPL,2016-06-29T00:00:00Z,Flood (General) in Nepal,nat-hyd-flo-flo,NPL,emdat-events
emdat-event-2016-0241-CHN,2016-06-28T00:00:00Z,Flood (General) in China,nat-hyd-flo-flo,CHN,emdat-events
emdat-event-2016-0239-IND,2016-06-25T00:00:00Z,Flash flood in India,nat-hyd-flo-fla,IND,emdat-events
emdat-event-2016-0238-CHN,2016-06-23T00:00:00Z,Flood (General) in China,nat-hyd-flo-flo,CHN,emdat-events
emdat-event-2016-0236-CHN,2016-06-18T00:00:00Z,Flood (General) in China,nat-hyd-flo-flo,CHN,emdat-events
emdat-event-2016-0233-CHN,2016-06-09T00:00:00Z,Flood (General) in China,nat-hyd-flo-flo,CHN,emdat-events
emdat-event-2016-0232-MMR,2016-06-01T00:00:00Z,Flood (General) in Myanmar,nat-hyd-flo-flo,MMR,emdat-events
emdat-event-2016-0198-CHN,2016-05-21T00:00:00Z,Flood (General) in China,nat-hyd-flo-flo,CHN,emdat-events
emdat-event-2016-0194-CHN,2016-05-18T00:00:00Z,Riverine flood in China,nat-hyd-flo-riv,CHN,emdat-events
emdat-event-2016-0153-LKA,2016-05-14T00:00:00Z,Flood (General) in Sri Lanka,nat-hyd-flo-flo,LKA,emdat-events
emdat-event-2016-0191-TJK,2016-05-09T00:00:00Z,Flood (General) in Tajikistan,nat-hyd-flo-flo,TJK,emdat-events
emdat-event-2016-0191-AFG,2016-05-09T00:00:00Z,Flood (General) in Afghanistan,nat-hyd-flo-flo,AFG,emdat-events
emdat-event-2016-0139-IND,2016-04-22T00:00:00Z,Flood (General) in India,nat-hyd-flo-flo,IND,emdat-events
emdat-event-2016-0137-CHN,2016-04-20T00:00:00Z,Riverine flood in China,nat-hyd-flo-riv,CHN,emdat-events
emdat-event-2016-0135-AFG,2016-04-16T00:00:00Z,Flash flood in Afghanistan,nat-hyd-flo-fla,AFG,emdat-events
emdat-event-2016-0112-PAK,2016-04-02T00:00:00Z,Flash flood in Pakistan,nat-hyd-flo-fla,PAK,emdat-events
emdat-event-2016-0112-AFG,2016-04-02T00:00:00Z,Flash flood in Afghanistan,nat-hyd-flo-fla,AFG,emdat-events
emdat-event-2016-0553-PAK,2016-03-09T00:00:00Z,Riverine flood in Pakistan,nat-hyd-flo-riv,PAK,emdat-events
emdat-event-2016-0040-IDN,2016-02-07T00:00:00Z,Flood (General) in Indonesia,nat-hyd-flo-flo,IDN,emdat-events
glide-event-FF-2016-000135-NPL,2016-12-18T00:00:00Z,,nat-hyd-flo-fla;FF,NPL,glide-events
glide-event-FL-2016-000094-IND,2016-08-25T00:00:00Z,,nat-hyd-flo-flo;FL,IND,glide-events
glide-event-FF-2016-000092-MMR,2016-08-19T00:00:00Z,,nat-hyd-flo-fla;FF,MMR,glide-events
