id,collection,datetime,title,country_codes,hazard_codes,impact_category,impact_type,impact_value,impact_unit,standardized_value,estimate_type,description
emdat-impact-2020-0092-ARG-total_deaths,emdat-impacts,2020-02-11T00:00:00Z,Flood (General) in Argentina - total_deaths,ARG,nat-hyd-flo-flo,people,death,3.0,count,,primary,
emdat-impact-2020-0062-MOZ-total_deaths,emdat-impacts,2020-02-11T00:00:00Z,Flood (General) in Mozambique - total_deaths,MOZ,nat-hyd-flo-flo,people,death,2.0,count,,primary,
emdat-impact-2020-0056-BRA-total_deaths,emdat-impacts,2020-02-09T00:00:00Z,Flood (General) in Brazil - total_deaths,BRA,nat-hyd-flo-flo,people,death,5.0,count,,primary,
emdat-impact-2020-0091-BOL-total_deaths,emdat-impacts,2020-02-08T00:00:00Z,Flood (General) in Bolivia (Plurinational State of) - total_deaths,BOL,nat-hyd-flo-flo,people,death,18.0,count,,primary,
emdat-impact-2020-0051-POL-total_deaths,emdat-impacts,2020-02-08T00:00:00Z,Storm (Extra-tropical storm) in Poland of February 2020 - total_deaths,POL,nat-met-sto-ext,people,death,3.0,count,,primary,
emdat-impact-2020-0051-ITA-total_deaths,emdat-impacts,2020-02-08T00:00:00Z,Storm (Extra-tropical storm) in Italy of February 2020 - total_deaths,ITA,nat-met-sto-ext,people,death,1.0,count,,primary,
emdat-impact-2020-0051-GBR-total_deaths,emdat-impacts,2020-02-08T00:00:00Z,Storm (Extra-tropical storm) in United Kingdom of Great Britain and Northern Ireland of February 2020 - total_deaths,GBR,nat-met-sto-ext,people,death,2.0,count,,primary,
emdat-impact-2020-0051-SWE-total_deaths,emdat-impacts,2020-02-07T00:00:00Z,Storm (Extra-tropical storm) in Sweden of February 2020 - total_deaths,SWE,nat-met-sto-ext,people,death,1.0,count,,primary,
emdat-impact-2020-0051-SVN-total_deaths,emdat-impacts,2020-02-07T00:00:00Z,Storm (Extra-tropical storm) in Slovenia of February 2020 - total_deaths,SVN,nat-met-sto-ext,people,death,1.0,count,,primary,
emdat-impact-2020-0051-CZE-total_deaths,emdat-impacts,2020-02-07T00:00:00Z,Storm (Extra-tropical storm) in Czechia of February 2020 - total_deaths,CZE,nat-met-sto-ext,people,death,1.0,count,,primary,
emdat-impact-2020-0050-ZAF-total_deaths,emdat-impacts,2020-02-07T00:00:00Z,Flash flood in South Africa - total_deaths,ZAF,nat-hyd-flo-fla,people,death,3.0,count,,primary,
emdat-impact-2020-0047-PNG-total_deaths,emdat-impacts,2020-02-05T00:00:00Z,Flash flood in Papua New Guinea - total_deaths,PNG,nat-hyd-flo-fla,people,death,7.0,count,,primary,
emdat-impact-2020-0053-AUS-total_deaths,emdat-impacts,2020-02-04T00:00:00Z,Flood (General) in Australia - total_deaths,AUS,nat-hyd-flo-flo,people,death,1.0,count,,primary,
emdat-impact-2020-0046-MWI-total_deaths,emdat-impacts,2020-02-04T00:00:00Z,Riverine flood in Malawi - total_deaths,MWI,nat-hyd-flo-riv,people,death,1.0,count,,primary,
emdat-impact-2020-0044-TUR-total_deaths,emdat-impacts,2020-02-04T00:00:00Z,Avalanche (wet) in Türkiye - total_deaths,TUR,nat-hyd-mmw-ava,people,death,41.0,count,,primary,
emdat-impact-2020-0041-RWA-total_deaths,emdat-impacts,2020-02-02T00:00:00Z,Flood (General) in Rwanda - total_deaths,RWA,nat-hyd-flo-flo,people,death,19.0,count,,primary,
emdat-impact-2020-0055-BDI-total_deaths,emdat-impacts,2020-01-28T00:00:00Z,Flood (General) in Burundi - total_deaths,BDI,nat-hyd-flo-flo,people,death,3.0,count,,primary,
emdat-impact-2020-0036-IDN-total_deaths,emdat-impacts,2020-01-28T00:00:00Z,Flood (General) in Indonesia - total_deaths,IDN,nat-hyd-flo-flo,people,death,9.0,count,,primary,
emdat-impact-2020-0037-TZA-total_deaths,emdat-impacts,2020-01-27T00:00:00Z,Flash flood in United Republic of Tanzania - total_deaths,TZA,nat-hyd-flo-fla,people,death,29.0,count,,primary,
emdat-impact-2020-0034-TUR-total_deaths,emdat-impacts,2020-01-24T00:00:00Z,Ground movement in Türkiye - total_deaths,TUR,nat-geo-ear-gro,people,death,41.0,count,,primary,
emdat-impact-2020-0033-IDN-total_deaths,emdat-impacts,2020-01-23T00:00:00Z,Flood (General) in Indonesia - total_deaths,IDN,nat-hyd-flo-flo,people,death,10.0,count,,primary,
emdat-impact-2020-0020-ESP-total_deaths,emdat-impacts,2020-01-19T00:00:00Z,Storm (Extra-tropical storm) in Spain of January 2020 - total_deaths,ESP,nat-met-sto-ext,people,death,17.0,count,,primary,
emdat-impact-2020-0018-IDN-total_deaths,emdat-impacts,2020-01-19T00:00:00Z,Flash flood in Indonesia - total_deaths,IDN,nat-hyd-flo-fla,people,death,10.0,count,,primary,
emdat-impact-2020-0045-PSE-total_deaths,emdat-impacts,2020-01-18T00:00:00Z,Cold wave in State of Palestine - total_deaths,PSE,nat-met-ext-col,people,death,3.0,count,,primary,
emdat-impact-2020-0022-BRA-total_deaths,emdat-impacts,2020-01-17T00:00:00Z,Flood (General) in Brazil - total_deaths,BRA,nat-hyd-flo-flo,people,death,61.0,count,,primary,
emdat-impact-2020-0015-FJI-total_deaths,emdat-impacts,2020-01-17T00:00:00Z,Storm (Tropical cyclone) in Fiji of January 2020 - total_deaths,FJI,nat-met-sto-tro,people,death,2.0,count,,primary,
emdat-impact-2020-0009-AFG-total_deaths,emdat-impacts,2020-01-12T00:00:00Z,Blizzard/Winter storm in Afghanistan - total_deaths,AFG,nat-met-sto-bli,people,death,13.0,count,,primary,
emdat-impact-2020-0008-PHL-total_deaths,emdat-impacts,2020-01-12T00:00:00Z,Volcanic activity (Ash fall) in Philippines of January 2020 - total_deaths,PHL,nat-geo-vol-ash,people,death,1.0,count,,primary,
emdat-impact-2020-0057-IND-total_deaths,emdat-impacts,2020-01-11T00:00:00Z,Blizzard/Winter storm in India - total_deaths,IND,nat-met-sto-bli,people,death,11.0,count,,primary,
emdat-impact-2020-0010-PAK-total_deaths,emdat-impacts,2020-01-11T00:00:00Z,Blizzard/Winter storm in Pakistan - total_deaths,PAK,nat-met-sto-bli,people,death,107.0,count,,primary,
emdat-impact-2020-0011-USA-total_deaths,emdat-impacts,2020-01-10T00:00:00Z,Severe weather in United States of America - total_deaths,USA,nat-met-sto-sev,people,death,10.0,count,,primary,
emdat-impact-2020-0017-IRN-total_deaths,emdat-impacts,2020-01-09T00:00:00Z,Flood (General) in Iran (Islamic Republic of) - total_deaths,IRN,nat-hyd-flo-flo,people,death,4.0,count,,primary,
emdat-impact-2020-0007-PRI-total_deaths,emdat-impacts,2020-01-07T00:00:00Z,Ground movement in Puerto Rico - total_deaths,PRI,nat-geo-ear-gro,people,death,4.0,count,,primary,
emdat-impact-2020-0005-TUR-total_deaths,emdat-impacts,2020-01-07T00:00:00Z,Severe weather in Türkiye - total_deaths,TUR,nat-met-sto-sev,people,death,2.0,count,,primary,
emdat-impact-2020-0001-ISR-total_deaths,emdat-impacts,2020-01-04T00:00:00Z,Flash flood in Israel - total_deaths,ISR,nat-hyd-flo-fla,people,death,7.0,count,,primary,
emdat-impact-2020-9585-USA-total_deaths,emdat-impacts,2020-01-01T00:00:00Z,Drought in United States of America - total_deaths,USA,nat-cli-dro-dro,people,death,45.0,count,,primary,
emdat-impact-2020-0427-BOL-total_deaths,emdat-impacts,2020-01-01T00:00:00Z,Forest fire in Bolivia (Plurinational State of) - total_deaths,BOL,nat-cli-wil-for,people,death,5.0,count,,primary,
emdat-impact-2020-0016-MDG-total_deaths,emdat-impacts,2020-01-01T00:00:00Z,Flood (General) in Madagascar - total_deaths,MDG,nat-hyd-flo-flo,people,death,40.0,count,,primary,
emdat-impact-2019-0632-IDN-total_deaths,emdat-impacts,2019-12-31T00:00:00Z,Flash flood in Indonesia - total_deaths,IDN,nat-hyd-flo-fla,people,death,66.0,count,,primary,
emdat-impact-2019-0633-MOZ-total_deaths,emdat-impacts,2019-12-27T00:00:00Z,Flood (General) in Mozambique - total_deaths,MOZ,nat-hyd-flo-flo,people,death,28.0,count,,primary,
emdat-impact-2019-0545-AUS-total_deaths,emdat-impacts,2019-09-01T00:00:00Z,"Wildfire (Land fire (Brush, Bush, Pasture)) in Australia of September 2019 - total_deaths",AUS,nat-cli-wil-lan,people,death,32.0,count,,primary,
emdat-impact-2019-0666-AGO-total_deaths,emdat-impacts,2019-03-01T00:00:00Z,Flash flood in Angola - total_deaths,AGO,nat-hyd-flo-fla,people,death,41.0,count,,primary,
emdat-impact-2019-9666-ARG-total_deaths,emdat-impacts,2019-01-01T00:00:00Z,Drought in Argentina - total_deaths,ARG,nat-cli-dro-dro,people,death,8.0,count,,primary,
