id,collection,datetime,title,country_codes,hazard_codes,impact_category,impact_type,impact_value,impact_unit,standardized_value,estimate_type,description
emdat-impact-2020-0260-CHN-total_deaths,emdat-impacts,2020-06-17T00:00:00Z,Landslide (wet) in China - total_deaths,CHN,nat-hyd-mmw-lan,people,death,4.0,count,,primary,
emdat-impact-2020-0323-BGD-total_deaths,emdat-impacts,2020-06-15T00:00:00Z,Flood (General) in Bangladesh - total_deaths,BGD,nat-hyd-flo-flo,people,death,257.0,count,,primary,
emdat-impact-2020-0320-SOM-total_deaths,emdat-impacts,2020-06-15T00:00:00Z,Riverine flood in Somalia - total_deaths,SOM,nat-hyd-flo-riv,people,death,6.0,count,,primary,
emdat-impact-2020-0259-CIV-total_deaths,emdat-impacts,2020-06-15T00:00:00Z,Flood (Flood (General)) in Côte d’Ivoire of June 2020 - total_deaths,CIV,nat-hyd-flo-flo,people,death,24.0,count,,primary,
emdat-impact-2020-0257-NGA-total_deaths,emdat-impacts,2020-06-14T00:00:00Z,Flood (General) in Nigeria - total_deaths,NGA,nat-hyd-flo-flo,people,death,4.0,count,,primary,
emdat-impact-2020-0251-TUR-total_deaths,emdat-impacts,2020-06-14T00:00:00Z,Ground movement in Türkiye - total_deaths,TUR,nat-geo-ear-gro,people,death,1.0,count,,primary,
emdat-impact-2020-0253-TUR-total_deaths,emdat-impacts,2020-06-11T00:00:00Z,Flash flood in Türkiye - total_deaths,TUR,nat-hyd-flo-fla,people,death,1.0,count,,primary,
emdat-impact-2020-0250-IDN-total_deaths,emdat-impacts,2020-06-11T00:00:00Z,Flash flood in Indonesia - total_deaths,IDN,nat-hyd-flo-fla,people,death,7.0,count,,primary,
emdat-impact-2020-0286-ROU-total_deaths,emdat-impacts,2020-06-10T00:00:00Z,Flood (General) in Romania - total_deaths,ROU,nat-hyd-flo-flo,people,death,3.0,count,,primary,
emdat-impact-2020-0228-GHA-total_deaths,emdat-impacts,2020-06-08T00:00:00Z,Flood (General) in Ghana - total_deaths,GHA,nat-hyd-flo-flo,people,death,3.0,count,,primary,
emdat-impact-2020-0219-USA-total_deaths,emdat-impacts,2020-06-07T00:00:00Z,Storm (Tropical cyclone) in United States of America of June 2020 - total_deaths,USA,nat-met-sto-tro,people,death,1.0,count,,primary,
emdat-impact-2020-0217-IND-total_deaths,emdat-impacts,2020-06-03T00:00:00Z,Storm (Tropical cyclone) in India of June 2020 - total_deaths,IND,nat-met-sto-tro,people,death,6.0,count,,primary,
emdat-impact-2020-0216-YEM-total_deaths,emdat-impacts,2020-06-03T00:00:00Z,Flood (General) in Yemen - total_deaths,YEM,nat-hyd-flo-flo,people,death,16.0,count,,primary,
emdat-impact-2020-0530-GBR-total_deaths,emdat-impacts,2020-06-01T00:00:00Z,Heat wave in United Kingdom of Great Britain and Northern Ireland - total_deaths,GBR,nat-met-ext-hea,people,death,2556.0,count,,primary,
emdat-impact-2020-0305-SDN-total_deaths,emdat-impacts,2020-06-01T00:00:00Z,Flood (General) in Sudan - total_deaths,SDN,nat-hyd-flo-flo,people,death,155.0,count,,primary,
emdat-impact-2020-0304-IND-total_deaths,emdat-impacts,2020-06-01T00:00:00Z,Flood (General) in India - total_deaths,IND,nat-hyd-flo-flo,people,death,1922.0,count,,primary,
emdat-impact-2020-0297-NPL-total_deaths,emdat-impacts,2020-06-01T00:00:00Z,Flood (General) in Nepal - total_deaths,NPL,nat-hyd-flo-flo,people,death,448.0,count,,primary,
emdat-impact-2020-0249-PAK-total_deaths,emdat-impacts,2020-06-01T00:00:00Z,Flood (General) in Pakistan - total_deaths,PAK,nat-hyd-flo-flo,people,death,7.0,count,,primary,
emdat-impact-2020-0218-SLV-total_deaths,emdat-impacts,2020-05-31T00:00:00Z,Storm (Tropical cyclone) in El Salvador of May 2020 - total_deaths,SLV,nat-met-sto-tro,people,death,32.0,count,,primary,
emdat-impact-2020-0218-HND-total_deaths,emdat-impacts,2020-05-30T00:00:00Z,Storm (Tropical cyclone) in Honduras of May 2020 - total_deaths,HND,nat-met-sto-tro,people,death,5.0,count,,primary,
emdat-impact-2020-0218-GTM-total_deaths,emdat-impacts,2020-05-30T00:00:00Z,Storm (Tropical cyclone) in Guatemala of May 2020 - total_deaths,GTM,nat-met-sto-tro,people,death,2.0,count,,primary,
