id,datetime,title,hazard_codes,primary_country,collection
emdat-event-2023-0622-IND,2023-10-05T00:00:00Z,Glacial lake outburst flood in India,nat-cli-glo-glo,IND,emdat-events
emdat-event-2023-0654-LKA,2023-09-28T00:00:00Z,Flood (General) in Sri Lanka,nat-hyd-flo-flo,LKA,emdat-events
emdat-event-2023-0615-CHN,2023-09-07T00:00:00Z,Flash flood in China,nat-hyd-flo-fla,CHN,emdat-events
emdat-event-2023-0601-IDN,2023-09-01T00:00:00Z,Flood (General) in Indonesia,nat-hyd-flo-flo,IDN,emdat-events
emdat-event-2023-0571-PAK,2023-09-01T00:00:00Z,Flood (General) in Pakistan,nat-hyd-flo-flo,PAK,emdat-events
emdat-event-2023-0570-TJK,2023-08-27T00:00:00Z,Flood (General) in Tajikistan,nat-hyd-flo-flo,TJK,emdat-events
emdat-event-2023-0542-PAK,2023-08-20T00:00:00Z,Flood (General) in Pakistan,nat-hyd-flo-flo,PAK,emdat-events
emdat-event-2023-0551-CHN,2023-08-11T00:00:00Z,Flash flood in China,nat-hyd-flo-fla,CHN,emdat-events
emdat-event-2023-0512-BGD,2023-08-07T00:00:00Z,Flash flood in Bangladesh,nat-hyd-flo-fla,BGD,emdat-events
emdat-event-2023-0517-MMR,2023-08-03T00:00:00Z,Flood (General) in Myanmar,nat-hyd-flo-flo,MMR,emdat-events
emdat-event-2023-0516-CHN,2023-08-01T00:00:00Z,Flood (General) in China,nat-hyd-flo-flo,CHN,emdat-events
emdat-event-2023-0503-CHN,2023-08-01T00:00:00Z,Flood (General) in China,nat-hyd-flo-flo,CHN,emdat-events
emdat-event-2023-0486-IND,2023-07-27T00:00:00Z,Flood (General) in India,nat-hyd-flo-flo,IND,emdat-events
emdat-event-2023-0462-PAK,2023-07-22T00:00:00Z,Flash flood in Pakistan,nat-hyd-flo-fla,PAK,emdat-events
emdat-event-2023-0462-AFG,2023-07-22T00:00:00Z,Flash flood in Afghanistan,nat-hyd-flo-fla,AFG,emdat-events
emdat-event-2023-0437-IDN,2023-07-07T00:00:00Z,Flood (General) in Indonesia,nat-hyd-flo-flo,IDN,emdat-events
emdat-event-2023-0418-THA,2023-07-03T00:00:00Z,Flood (General) in Thailand,nat-hyd-flo-flo,THA,emdat-events
